Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000078588.jpg,0.40402,0.03221,38.6,11,0
000000198131.jpg,0.640398,0.02949,33.3,3,0
000000199562.jpg,0.528069,0.02808,31.1,1,0
000000301947.jpg,0.66004,0.03114,34.7,1,0
000000532395.jpg,0.535864,0.02936,36.7,2,0
000000291364.jpg,0.422381,0.03172,24.4,2,0
000000477091.jpg,0.527758,0.03191,34.6,3,0
000000548774.jpg,0.477059,0.03154,26.7,2,0
000000146642.jpg,0.760764,0.03201,23.9,3,0
000000492149.jpg,0.578698,0.03278,25.0,1,0
000000171263.jpg,0.447289,0.02905,28.6,5,0
000000462600.jpg,0.637558,0.0356,33.3,1,1
000000087952.jpg,0.49146,0.0306,31.9,3,0
000000366987.jpg,0.776389,0.0285,16.2,3,0
000000392752.jpg,0.431938,0.03218,34.6,3,0
000000502085.jpg,0.557483,0.0373,37.5,1,1
000000132543.jpg,0.429977,0.03023,35.3,5,0
000000245200.jpg,0.865761,0.0326,32.0,1,0
000000138313.jpg,0.663002,0.03347,28.0,1,0
000000162671.jpg,0.630435,0.03393,31.4,5,0
000000024114.jpg,0.7334,0.03165,32.7,2,0
000000555846.jpg,0.767844,0.02953,34.0,2,0
000000378084.jpg,0.410592,0.03557,31.6,4,1
000000571685.jpg,0.361516,0.03164,32.0,4,0
000000167124.jpg,0.477695,0.03218,27.1,1,0
000000306695.jpg,0.347181,0.03288,30.8,2,0
000000383098.jpg,0.699491,0.03384,40.3,4,0
000000315983.jpg,0.593028,0.02916,27.9,6,0
000000502350.jpg,0.661065,0.03153,39.3,1,0
000000065423.jpg,0.86149,0.0365,28.6,1,1
000000328556.jpg,0.870271,0.03678,25.5,1,1
000000176261.jpg,0.626874,0.04167,33.3,2,1
000000389785.jpg,0.525023,0.02704,27.5,14,0
000000096141.jpg,0.382666,0.03071,29.8,9,0
000000531698.jpg,0.602905,0.03339,32.7,7,0
000000298918.jpg,0.49597,0.02872,40.4,10,0
000000507973.jpg,0.441868,0.03079,28.3,7,0
000000532039.jpg,0.396038,0.04032,34.4,4,1
000000294385.jpg,0.0,0.03508,25.0,0,1
000000294385.jpg,0.0,0.03508,25.0,0,1
000000294385.jpg,0.0,0.03508,25.0,0,1
000000577352.jpg,0.0,0.03508,28.3,0,1
000000577352.jpg,0.0,0.03508,28.3,0,1
000000577352.jpg,0.0,0.03508,28.3,0,1
000000506031.jpg,0.0,0.03508,23.5,0,1
000000506031.jpg,0.0,0.03508,23.5,0,1
000000506031.jpg,0.0,0.03508,23.5,0,1
000000357694.jpg,0.454936,0.02743,33.3,18,0
000000320010.jpg,0.706934,0.03054,34.7,5,0
000000502096.jpg,0.858917,0.03166,33.3,1,0
000000042607.jpg,0.0,0.03534,33.9,0,1
000000291250.jpg,0.528152,0.03006,38.5,5,0
000000151937.jpg,0.531994,0.02599,24.3,5,0
000000014324.jpg,0.679393,0.03373,28.8,2,0
000000439713.jpg,0.846404,0.03416,25.5,1,0
000000039164.jpg,0.704283,0.03308,27.5,6,0
000000398543.jpg,0.0,0.03395,24.5,0,0
000000398543.jpg,0.0,0.03395,24.5,0,0
