Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000250452.jpg,0.583817,0.06414,39.0,14,0
000000085497.jpg,0.664443,0.06302,33.3,2,0
000000014223.jpg,0.723413,0.06528,34.0,10,0
000000394055.jpg,0.526226,0.06877,27.1,5,0
000000339263.jpg,0.764935,0.08239,38.9,4,1
000000330476.jpg,0.749755,0.05652,29.6,3,0
000000305018.jpg,0.688891,0.06357,37.9,3,0
000000471220.jpg,0.520822,0.06386,40.5,7,0
000000559710.jpg,0.583352,0.06451,37.3,4,0
000000575844.jpg,0.636233,0.07427,38.7,13,1
000000227062.jpg,0.924924,0.07025,41.9,1,1
000000160086.jpg,0.677603,0.07669,37.4,10,1
000000366552.jpg,0.473362,0.06585,46.2,2,0
000000257088.jpg,0.680313,0.05566,36.8,1,0
000000238754.jpg,0.51928,0.06216,37.4,3,0
000000492122.jpg,0.60943,0.0639,41.1,3,0
000000444406.jpg,0.396554,0.05519,34.1,2,0
000000149103.jpg,0.719962,0.06196,38.8,4,0
000000519585.jpg,0.813101,0.05744,32.9,2,0
000000137714.jpg,0.642035,0.06258,37.9,11,0
000000017668.jpg,0.4948,0.06258,39.8,7,0
000000501092.jpg,0.339456,0.06601,38.7,3,0
000000057787.jpg,0.58343,0.06149,38.0,3,0
000000317218.jpg,0.374125,0.05493,38.6,3,0
000000280150.jpg,0.462058,0.06972,39.0,7,1
000000537187.jpg,0.700191,0.062,41.7,2,0
000000098371.jpg,0.518602,0.0658,34.7,3,0
000000492686.jpg,0.481628,0.06252,45.0,3,0
000000337679.jpg,0.625279,0.06952,33.3,2,1
000000551920.jpg,0.649902,0.06336,32.6,7,0
000000412964.jpg,0.612449,0.06067,32.2,3,0
000000026568.jpg,0.611787,0.07801,39.0,14,1
000000451596.jpg,0.81777,0.06416,24.7,8,0
000000307382.jpg,0.389916,0.06285,33.3,1,0
000000499312.jpg,0.59979,0.07321,37.2,2,1
000000456386.jpg,0.330405,0.0628,37.1,6,0
000000551139.jpg,0.451034,0.05149,34.1,18,0
000000137298.jpg,0.748089,0.04882,35.6,3,0
000000355631.jpg,0.553345,0.06397,35.7,5,0
000000382455.jpg,0.869359,0.0546,30.4,2,0
